id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price,
9025,Au gite des 4 Lacs,0.0,Bad,[''],211 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",300.0,
9026,Au Coeur de l'Emeraude,5.0,Excellent,"['Restaurant', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Public Wifi']",56 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",300.0,
9027,Camping Lac Magog,4.0,Very good,[''], ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9028,Camping Ile-Marie,4.0,Very good,[''],22 ,Canada,Kimberley British Columbia,"(48.45842215, -2.75058683461077)",300.0,
9029,A Aurore Boreale,5.0,Excellent,[''],79 ,Canada,Kimberley British Columbia,"(46.53914, -0.299533326480368)",300.0,
9030,La Maison Orientale,5.0,Excellent,[''],131 des Villas ,Canada,Kimberley British Columbia,"(47.1689579, 23.8777736)",300.0,
9031,Camping Beau-Lieu,0.0,Bad,"['Pets Allowed ( Dog / Pet Friendly )', 'Bar/Lounge', 'Restaurant', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Spa', 'Pool', 'Free parking']",5153 Chemin de Sainte-Catherine Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3250517979302, -71.9867102753953)",300.0,
9032,Hebergement Hotelier Universite de Sherbrooke,0.0,Bad,"['Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Shuttle Bus Service', 'Pool', 'Free parking', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9033,Kingfisher Oceanside Resort and Spa,4.0,Very good,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Airport transportation', 'Accessible rooms', 'Banquet Room', 'Restaurant', 'Heated pool', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Sauna', 'Outdoor pool', 'Non-smoking rooms', 'Shuttle Bus Service', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Hot Tub', 'Pool', 'Public Wifi', 'Kitchenette']",4330 Island Hwy S Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6979848, -124.9892914)",300.0,
9034,Old House Hotel & Spa,4.5,Excellent,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Airport transportation', 'Microwave', 'Accessible rooms', 'Heated pool', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Suites', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Outdoor pool', 'Non-smoking rooms', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Hot Tub', 'Pool', 'Public Wifi', 'Kitchenette']",1730 Riverside Lane Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.68460635, -124.988698445907)",170.0,
9035,Holiday Inn Express Hotel & Suites Courtenay Comox Valley SW,4.5,Excellent,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Banquet Room', 'Heated pool', 'Air conditioning', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Indoor pool', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Hot Tub', 'Pool']",2200 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6797945, -124.98351935)",160.0,
9036,Travelodge Courtenay BC,0.0,Bad,[''],2605 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.67543445, -124.983146628407)",300.0,
9037,The Villas at Crown Isle Resort,4.5,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Airport transportation', 'Microwave', 'Concierge', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Free parking', 'Laundry Service', 'Non-smoking rooms', 'Conference Facilities', 'Self-Serve Laundry', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Golf Course', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9038,Anco Inn,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Self-Serve Laundry', 'Air conditioning', 'Wheelchair Access', 'Pool', 'Accessible rooms', 'Refrigerator in room', 'Outdoor pool', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Non-smoking rooms', 'Smoking rooms available', 'Microwave', 'Free parking', 'Public Wifi', 'Kitchenette']",1885 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.68235065, -124.988601567672)",300.0,
9039,Best Western The Westerly Hotel,4.0,Very good,"['Bar/Lounge', 'Business Centre with Internet Access', 'Microwave', 'Concierge', 'Banquet Room', 'Restaurant', 'Heated pool', 'Air conditioning', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Sauna', 'Non-smoking rooms', 'Indoor pool', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Meeting rooms', 'Room service', 'Hot Tub', 'Pool', 'Public Wifi']",1590 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6855775, -124.9909604)",300.0,
9040,Lake Trail Guesthouse,4.5,Excellent,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Laundry Service', 'Children Activities (Kid / Family Friendly)', 'Shuttle Bus Service', 'Free parking', 'Kitchenette']",4787 Lake Trail Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6791452, -125.0128641)",300.0,
9041,Estuary House B&B,3.5,Very good,[''],2810 Comox Rd ,Canada,Kimberley British Columbia,"(49.6804099, -124.9701858)",110.0,
9042,Stafford House B&B,5.0,Excellent,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Air conditioning']",123 Stafford Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.7078483, -124.9798837)",115.0,
9043,Arbour Cottage B & B,5.0,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking', 'Breakfast included']",1675 Dingwall Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.7070434, -124.9819919)",90.0,
9044,Serenity Lodge Bed And Breakfast,0.0,Bad,[''],3120 Klanawa Cres ,Canada,Kimberley British Columbia,"(49.7184169, -124.9666689)",125.0,
9045,Belle Vue Bed and Breakfast,5.0,Excellent,"['Breakfast included', 'Non-smoking hotel', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Hot Tub', 'Suites', 'Golf Course', 'Free parking', 'Public Wifi']",5782 Coral Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.7765437, -124.9801246)",300.0,
9046,Blue Willow Guest House,5.0,Excellent,"['Breakfast included', 'Non-smoking hotel', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Free parking', 'Public Wifi']",524 Quatna Rd Qualicum Beach British Columbia,Canada,Kimberley British Columbia,"(49.3549901, -124.4215687)",300.0,
9047,Tree Island Bed And Breakfast,5.0,Excellent,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Wheelchair Access']",4609 Kilmarnock Dr Courtenay British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",300.0,
9048,Salsbury House B&B,5.0,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Airport transportation', 'Free parking', 'Breakfast included']",65 Salsbury Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6793073, -125.0383562)",300.0,
9049,River Heights Motel,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Public Wifi', 'Kitchenette']",1820 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.683355, -124.987826)",80.0,
9050,Seal Bay RV Park & Campground,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)']",1901 Larch Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",300.0,
9051,The Cona Hostel,4.5,Excellent,"['Free parking', 'Non-smoking hotel', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms']",440 Anderton Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6954577, -124.9988594)",300.0,
9052,Horne Lake Regional Park Campground,3.5,Very good,[''],Horne Lake Caves Rd ,Canada,Kimberley British Columbia,"(49.3429371, -124.665709)",300.0,
9053,McCullough Cottage B&B,5.0,Excellent,"['Non-smoking hotel', 'Family Rooms', 'Non-smoking rooms', 'Hot Tub', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9054,Mission Ridge B&B,5.0,Excellent,['Refrigerator in room'], ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9055,Shantz Haus Hostel,3.0,Average,[''],520 5th St Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.689569, -125.001988926253)",300.0,
9056,Arbutus Pacific Hotel,1.5,Poor,[''],275 8th St ,Canada,Kimberley British Columbia,"(38.4220683423849, -82.4459468601246)",300.0,
